Year,Month,Latitude,Longitude,Water_Temp_C,Salinity_PSU,pH,Dissolved_Oxygen_mgL,Chlorophyll_mg_m3,Fish_Species,Fish_Abundance,Fish_Length_cm
2016,2,12.988,80.851,25.54,33.91,8.19,6.63,1.4,Sardine,58,42.303570765056165
2013,10,20.696,80.176,29.49,32.19,8.22,4.99,2.14,Snapper,34,89.68567849414407
2022,4,11.81,82.727,23.42,34.14,7.8,8.39,1.64,Tuna,67,103.83044269050347
2024,8,17.068,75.009,28.85,32.76,8.34,5.4,2.45,Mackerel,37,78.17514928204012
2020,7,8.007,81.797,22.63,37.39,8.18,5.79,1.66,Anchovy,55,76.43223312638332
2017,12,12.936,89.578,25.46,35.71,7.83,6.16,1.67,Snapper,52,88.2203152152541
2022,9,12.267,79.735,24.32,35.97,8.2,6.45,2.22,Tuna,55,107.17206407753696
2014,8,10.305,88.122,23.37,35.8,7.69,6.64,2.01,Anchovy,57,82.76517364576455
2016,5,15.477,78.688,26.4,36.26,8.57,6.68,3.14,Snapper,58,88.47462807032522
2019,2,14.788,77.002,26.2,36.7,7.88,5.86,1.19,Snapper,54,92.02980021792982
2012,5,17.694,82.902,24.04,34.19,8.42,6.67,2.05,Tuna,52,96.98791153593768
2016,8,11.772,83.378,20.81,32.87,7.94,5.81,2.56,Sardine,45,34.65435123214872
2020,10,11.418,87.283,24.16,33.73,8.21,6.58,1.71,Mackerel,51,70.38281135783018
2020,9,10.356,74.604,25.28,34.93,7.92,6.5,1.54,Tuna,61,90.03559877671101
2017,12,11.063,79.984,25.0,31.15,8.3,6.76,1.56,Sardine,54,31.10341083743483
2014,12,15.813,81.44,26.51,36.71,8.05,6.64,1.19,Tuna,55,97.44056235379513
2013,12,13.654,85.371,28.87,32.15,8.19,5.56,2.67,Sardine,53,35.73184439832789
2017,9,8.908,70.872,25.83,35.9,8.1,6.46,1.84,Sardine,59,41.49823666297637
2017,1,11.555,89.891,26.14,34.75,7.83,6.65,1.78,Mackerel,61,65.71387962239395
2012,9,11.456,79.399,25.3,35.43,8.2,4.71,0.94,Sardine,32,30.58048149332354
2015,7,17.748,75.591,27.34,34.29,8.0,5.73,1.28,Snapper,44,97.11224384460778
2014,9,17.972,87.67,26.06,35.33,8.31,6.61,2.73,Tuna,60,99.33011849756733
2011,8,10.073,84.954,26.5,34.29,8.05,7.71,2.15,Tuna,73,101.9426410234396
2017,1,21.968,89.061,28.62,34.17,8.08,6.82,2.58,Anchovy,53,74.78025906893271
2021,12,11.735,76.615,25.45,33.65,8.44,7.77,2.52,Sardine,69,38.52908637737409
2023,8,21.673,81.055,24.46,37.29,8.58,5.6,1.5,Anchovy,30,78.83461294854933
2015,8,13.755,81.446,25.89,35.55,8.26,6.25,3.21,Anchovy,71,74.40303211288847
2011,11,8.463,89.607,27.27,35.31,8.04,6.81,2.97,Anchovy,65,83.21449009172838
